year,race,networth,pctle,diff
2007,White,33003.4280117532,24,0
2010,White,17685.2602056715,24,-15318.167806081703
2013,White,19281.6569767442,24,-13721.771035009002
2016,White,23570,24,-9433.428011753203
2007,White,36593.2745674176,25,0
2010,White,20393.315674665,25,-16199.958892752598
2013,White,21405.7325581395,25,-15187.542009278095
2016,White,26680,25,-9913.274567417597
2007,White,41121.1132876265,26,0
2010,White,24051.9538797133,26,-17069.159407913197
2013,White,24024.738372093,26,-17096.374915533495
2016,White,29460,26,-11661.113287626496
2007,White,46216.379366634,27,0
2010,White,27124.7678404487,27,-19091.611526185297
2013,White,27066.4970930233,27,-19149.8822736107
2016,White,32210,27,-14006.379366633999
2007,White,50639.9967352269,28,0
2010,White,30020.729199127498,28,-20619.267536099404
2013,White,30634.119186046504,28,-20005.877549180397
2016,White,35561,28,-15078.996735226901
2007,White,55654.20176297751,29,0
2010,White,33049.3300093487,29,-22604.87175362881
2013,White,33201.5697674419,29,-22452.63199553561
2016,White,4e4,29,-15654.201762977507
2007,White,59753.5749265426,30,0
2010,White,36034.8229978186,30,-23718.751928724
2013,White,36604.2151162791,30,-23149.3598102635
2016,White,44500,30,-15253.574926542598
2007,White,64733.039503754495,31,0
2010,White,39791.835462761,31,-24941.204040993493
2013,White,39491.3081395349,31,-25241.731364219595
2016,White,49e3,31,-15733.039503754495
2007,White,69886.2063336598,32,0
2010,White,42942.0224368962,32,-26944.183896763592
2013,White,43203.2848837209,32,-26682.92144993889
2016,White,53560,32,-16326.206333659793
2007,White,75172.5448906301,33,0
2010,White,46534.3409161733,33,-28638.203974456803
2013,White,46915.261627907,33,-28257.283262723104
2016,White,59400,33,-15772.544890630103
2007,White,79787.2347371858,34,0
2010,White,50734.5902150203,34,-29052.64452216551
2013,White,52380.1162790698,34,-27407.118458116005
2016,White,63930,34,-15857.234737185805
2007,White,85287.806072478,35,0
2010,White,55100.6388282954,35,-30187.167244182594
2013,White,56308.625,35,-28979.181072477993
2016,White,67550,35,-17737.806072477993
2007,White,90000.9271955599,36,0
2010,White,58416.62511685879,36,-31584.302078701105
2013,White,60938.2848837209,36,-29062.642311838994
2016,White,72500,36,-17500.927195559896
2007,White,96636.3532484492,37,0
2010,White,62760.5671548769,37,-33875.7860935723
2013,White,65475.1453488372,37,-31161.207899612004
2016,White,79e3,37,-17636.353248449203
2007,White,102368.527587333,38,0
2010,White,67093.4559052664,38,-35275.0716820666
2013,White,70115.1162790698,38,-32253.411308263196
2016,White,83100,38,-19268.527587332996
2007,White,108760.770486451,39,0
2010,White,70409.4421938298,39,-38351.3282926212
2013,White,74796.3313953488,39,-33964.439091102206
2016,White,88610,39,-20150.770486451
2007,White,114759.288279465,40,0
2010,White,74443.8921782487,40,-40315.396101216305
2013,White,80075.5872093023,40,-34683.7010701627
2016,White,94300,40,-20459.288279465007
2007,White,120931.508325171,41,0
2010,White,79141.5394203802,41,-41789.9689047908
2013,White,84447.4709302326,41,-36484.03739493841
2016,White,99900,41,-21031.508325171002
2007,White,128076.460985961,42,0
2010,White,84889.2489872234,42,-43187.211998737606
2013,White,89262.7296511628,42,-38813.73133479821
2016,White,104e3,42,-24076.460985961006
2007,White,134792.948090108,43,0
2010,White,89918.49485821128,43,-44874.45323189671
2013,White,93521.1918604651,43,-41271.756229642895
2016,White,110360,43,-24432.948090107995
2007,White,142551.648710415,44,0
2010,White,94726.6749766282,44,-47824.9737337868
2013,White,101306.031976744,44,-41245.616733671006
2016,White,115e3,44,-27551.648710415
2007,White,151120.959843291,45,0
2010,White,100872.302898099,45,-50248.65694519199
2013,White,108523.764534884,45,-42597.195308407
2016,White,122750,45,-28370.959843291
2007,White,157872.187397976,46,0
2010,White,107437.955749455,46,-50434.231648521
2013,White,114658.837209302,46,-43213.350188674
2016,White,130130,46,-27742.187397976
2007,White,164090.728044401,47,0
2010,White,114887.87161109401,47,-49202.856433306995
2013,White,119608.139534884,47,-44482.58850951701
2016,White,140100,47,-23990.72804440101
2007,White,170112.406137773,48,0
2010,White,121807.229666563,48,-48305.17647121001
2013,White,125753.52325581398,48,-44358.88288195903
2016,White,147100,48,-23012.40613777301
2007,White,180881.945804767,49,0
2010,White,128925.546899346,49,-51956.398905420996
2013,White,131981.395348837,49,-48900.55045593
2016,White,154900,49,-25981.94580476699
2007,White,189011.211230819,50,0
2010,White,136375.462760985,50,-52635.74846983398
2013,White,138405.177325581,50,-50606.033905238
2016,White,162770,50,-26241.211230818997
2007,White,196584.629448253,51,0
2010,White,142941.11561234,51,-53643.51383591298
2013,White,147705.74127907,51,-48878.88816918299
2016,White,171450,51,-25134.629448252992
2007,White,207574.191968658,52,0
